sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	Minimum order quantity	Sell remainder
184304	B082YL1C9Q	16.99	100																					
184375	B081HZD25W	39.99	4																					
184456	B08F2J9CZR	9.99	25																					
184524	B084D77QVM	15.99	6																					
184527	B085MJBQ8W	15.99	26																					
184528	B08LFMVB2S	168.19	20																					
184560	B0856ZPX4P	79.99	5																					
184664	B08T7R3QV1	9.99	11																					
184681	B08157MDCZ	19.99	1																					
184683	B08157JWRY	19.99	1																					
184684	B081573BVD	19.99	1																					
184738	B085WPSP7V	19.99	100																					
184783	B07B3HXVBS	52.99	100																					
184799	B07XFCNVKR	22.99	19																					
184842	B07RZD45GY	24.99	31																					
184845	B07B3T5XRH	19.99	13																					
184846	B07YY8M52D	15.99	32																					
184862	B01MZBAP3K	64.99	100																					
184868	B08Q4HB1N2	83.99	38																					
184877	B07688ZNJ6	77.99	87																					
184935	B004KJ41E8	32.99	100																					
184981	B003OTINSU	15.99	6																					
185140	B07TPS21MS	22.99	57																					
185228	B07HYY75M7	26.99	100																					
185234	B07L3SR7WM	34.99	8																					
185262	B07SGDQ142	29.99	13																					
185268	B003Y2WDAQ	29.99	18																					
185345	B07XC63MHT	20.99	13																					
185347	B07HVM8D7S	24.99	46																					
185351	B06XSVZ6HX	62.99	72																					
185381	B083MDLRGT	16.99	18																					
185387	B083MDKTQJ	16.99	100																					
185388	B083MCLZNJ	16.99	14																					
185471	B09MFYDSG2	19.99	8																					
185472	B09MFZ45QG	19.99	12																					
185473	B09MFYRCMR	19.99	11																					
185474	B09MFYYY81	19.99	8																					
185476	B08CZ9DH4L	19.99	7																					
185477	B08CZRT3GD	19.99	11																					
185478	B08CZ7MMK6	19.99	5																					
185479	B08CZ5SYFZ	19.99	8																					
185481	B08CZBBJNT	19.99	9																					
185482	B08CZ2HWB2	19.99	10																					
185483	B08CZ842J9	19.99	10																					
185486	B08CZ9PH9X	19.99	5																					
185488	B08CZF594Q	19.99	5																					
185491	B0918QJRVY	19.99	9																					
185492	B0918T4H5H	19.99	10																					
185493	B0918SGH51	19.99	11																					
185494	B0919K29FW	19.99	7																					
185495	B0918SBWQZ	19.99	4																					
185496	B09MG1JHCN	19.99	2																					
185497	B0918TF4DD	19.99	4																					
185498	B09MFYYVC4	19.99	5																					
185499	B0918SV9HC	19.99	6																					
185523	B09MFXC4SN	19.99	10																					
185550	B077RXF7HG	9.99	37																					
185584	B08B72GTBZ	19.99	100																					
185585	B089RY41V6	9.99	100																					
185605	B084HG5HBX	14.99	3																					
185617	B084G5BP7F	14.99	5																					
185618	B084HG363X	14.99	3																					
185623	B07W61SF3C	14.99	21																					
185654	B08B1V6L7T	14.99	1																					
185662	B07XRY7WVD	14.99	33																					
185676	B083MCJYTL	39.99	16																					
185738	B089ZWLGH4	9.99	34																					
185839	B085G9RWQ6	17.99	1																					
185941	B08CL2Y2HJ	24.99	12																					
185942	B08H57WV5V	14.99	1																					
185943	B08CK5Z881	6.99	22																					
185947	B003O420SY	21.99	2																					
185948	B003O3ZZWI	21.99	3																					
185950	B003O4002W	21.99	5																					
185951	B003O49Q5Y	21.99	4																					
185952	B003O466ZW	21.99	1																					
185954	B003O4673S	21.99	5																					
185957	B003O421KQ	21.99	3																					
186007	B087QSK1YY	15.99	21																					
186030	B08LLRBNWJ	19.99	2																					
186080	B07MFR8BDK	29.99	1																					
186101	B09MFZ3KB1	29.99	3																					
188027	B08BXCXP4T	259.99	10																					
188124	B08FX8YSP3	14.99	10																					
188125	B08FWYYMNV	14.99	10																					
188129	B08J7JHRMK	14.99	37																					
188313	B087NCRSNM	16.99	12																					
188382	B079G62L3J	21.99	6																					
188937	B085PH4M47	16.99	14																					
188938	B085PGXDR9	16.99	22																					
189136	B08HN1B5JM	12.99	100																					
189137	B08HM6V633	12.99	100																					
189138	B08HM5HMWX	12.99	100																					
189156	B08HN1PR15	22.99	100																					
189161	B08JD2RR94	31.99	77																					
189162	B08HN1G4N7	12.99	8																					
189276	B07XF7PR6Y	16.99	20																					
189818	B084SRFLH5	24.99	24																					
189843	B08L9R4K8T	7.99	12																					
190131	B084DFTCFR	59.99	20																					
190172	B083KLVSCX	39.99	28																					
190292	B07YY9SPPW	23.99	25																					
190293	B07T6GSQ5H	21.99	66																					
190308	B07GWDLFVC	24.99	21																					
190309	B084DFD21D	30.99	55																					
190316	B085PH46S7	16.99	76																					
190320	B085PH2KP9	39.99	17																					
190401	B09Z5PY5QV	49.99	1																					
190479	B09MFVWF4W	19.99	6																					
190480	B09MFWSP3Q	19.99	1																					
190481	B09MFWDQ5J	19.99	1																					
190551	B01NAIT8NP	49.99	2																					
190635	B01MZ1VJH9	19.99	12																					
190636	B01MY0CBWI	19.99	10																					
190637	B01N6IYHBF	19.99	9																					
190638	B01N7KALP2	19.99	10																					
190639	B01NCNYSK1	19.99	3																					
190640	B013JWVAJU	19.99	9																					
190641	B013JWVFJK	19.99	6																					
190642	B013JWVK1S	19.99	9																					
190643	B013JWVO6E	19.99	7																					
190644	B013JWVS2O	19.99	2																					
190659	B013JW7M6K	19.99	7																					
190660	B013JW7QLQ	19.99	3																					
190661	B013JW7VKC	19.99	4																					
190682	B013JVWPRM	19.99	1																					
190697	B07PMZSWVW	49.99	3																					
190763	B083KLMDSP	18.99	25																					
190808	B07SDBS99G	3.99	7																					
190812	B084DF56KM	6.99	7																					
190816	B07TXD9BMX	16.99	10																					
190820	B084DGL9DV	6.99	63																					
190833	B077SJR4LF	5.99	6																					
190888	B07XGSFL26	6.99	44																					
190899	B07K7JPV5H	8.99	34																					
190918	B07YY93Y5J	9.99	36																					
190927	B07N6LKHQ9	11.99	12																					
190936	B08GQ1Q4Y9	7.99	12																					
191115	B084SPM1K6	24.99	13																					
191149	B08HM3L6CL	9.99	35																					
191157	B08HF45G42	18.99	19																					
191159	B085PGXDTC	16.99	37																					
191347	B08LGD7T7X	71.88	30																					
191492	B07YZFNSF5	24.99	2																					
191508	B084GPKQYC	19.99	1																					
191783	B0BQ712K92	49.99	58																					
191857	B08KVQVTPV	34.99	1																					
191892	B08HM5KKVM	6.99	7																					
191951	B08CB6X379	16.99	5																					
191962	B08FMPJ77J	16.99	12																					
191964	B08FMQFCBY	16.99	1																					
191966	B08FMPKCGD	16.99	43																					
191967	B08FMR8ZJ7	16.99	99																					
191968	B08FMR1G9Z	16.99	100																					
191970	B08FMR7QWY	16.99	2																					
191979	B08FMRYCXC	16.99	19																					
191980	B08FMPBQJ1	16.99	6																					
191982	B08FMQMM3C	16.99	2																					
192002	B07ZZP12C4	44.99	61																					
192003	B07ZZP6R98	16.99	22																					
192004	B07ZZNZYGF	16.99	80																					
192005	B07ZZP9D6C	16.99	4																					
192006	B07ZZNXL21	16.99	17																					
192038	B084J19PX3	16.99	71																					
192039	B084HZXFVG	16.99	100																					
192041	B084HZTH1N	16.99	100																					
192042	B084J1C66T	16.99	100																					
192043	B084J1FSNV	16.99	19																					
192048	B084HZY4GY	16.99	83																					
192049	B084J11HFX	16.99	100																					
192055	B08KGHFLTM	16.99	2																					
192079	B08KGHG1ZS	16.99	8																					
192117	B089B7C55D	16.99	16																					
192118	B089B8GFFP	16.99	6																					
192119	B089B88PD8	16.99	2																					
192120	B089C3ZNNR	16.99	8																					
192197	B08CB82B4W	16.99	1																					
192220	B0024MN64O	29.99	46																					
192227	B08KY4M55X	71.99	38																					
192346	B08CB8VSQ2	16.99	11																					
192471	B08M9PBP24	31.99	100																					
192512	B08LQ436NL	16.99	100																					
192514	B08LQ9JBRM	16.99	100																					
192515	B08LQLBNNC	16.99	7																					
192523	B08LQDNYKL	16.99	7																					
192525	B08LQCZVVV	16.99	8																					
192769	B085Y5LVPJ	19.99	22																					
192787	B0BZT32THJ	8.99	100																					
192788	B0BD5BS5PC	9.99	100																					
192790	B08MFGHN9J	10.99	8																					
192791	B08MFGCGJ8	6.99	14																					
192807	B07YFG7H2M	7.99	21																					
192816	B08CKDWDZN	5.99	43																					
192821	B08CK8D25J	5.99	8																					
192833	B06ZZB5RR8	5.99	33																					
192872	B07XB24834	29.99	34																					
192901	B08CNL1VRK	16.99	6																					
192902	B08CNNQDZF	16.99	43																					
192958	B084R4N4ZG	16.99	20																					
192981	B08MQLWNGR	16.99	28																					
192991	B08MQ27SHH	29.99	6																					
192992	B08MPVXDXF	44.99	17																					
193025	B0843HQSHJ	16.99	100																					
193026	B0843HH9CN	16.99	97																					
193027	B0843RP3RZ	16.99	8																					
193030	B08XBYSQXK	16.99	19																					
193031	B08XC1V4K4	16.99	18																					
193045	B08MQ3QSNB	16.99	19																					
193048	B08MNPC6MK	16.99	32																					
193049	B08MPXPQP5	16.99	33																					
193050	B08MQ58ZMG	16.99	56																					
193051	B08MPTSNZN	16.99	40																					
193053	B08MQGTDJF	16.99	10																					
193057	B08MPLXC26	16.99	9																					
193058	B08MPQRRMY	16.99	3																					
193062	B08MQ47VTT	16.99	4																					
193063	B08MQBS2TF	16.99	22																					
193067	B08MQ5YCWJ	16.99	10																					
193144	B08PCC2D4C	31.99	39																					
